Name,Folder,Media,Desviacion estandar,Valor minimo,Valor maximo,Numero de bordes,Saturación de rojo,Saturacion de verde,Saturacion de azul
AOT (1).png,attackOnTitan_fotos,16.865262345679014,13.760977299140894,0.0,56.0,0,23.674628665123457,198.456104841821,25.055789930555555
AOT (2).png,attackOnTitan_fotos,136.5515239197531,64.69130292835428,8.0,255.0,26733,12.793497781635804,134.27293885030863,175.16951967592593
AOT (3).png,attackOnTitan_fotos,157.12355709876545,49.355644753375756,37.0,243.0,1907,17.50612461419753,105.20317756558642,182.69837143132716
AOT (4).png,attackOnTitan_fotos,180.51586805555556,39.37023189015325,41.0,244.0,161,32.65558883101852,36.76495515046297,186.7459278549383
AOT (5).png,attackOnTitan_fotos,210.59391830632717,17.401861639888644,122.0,239.0,0,69.9559519675926,15.262652874228396,216.35142409336422
AOT (6).png,attackOnTitan_fotos,201.2843180941358,24.671423082689213,117.0,244.0,0,141.30815200617283,19.65171585648148,211.78123746141975
AOT (7).png,attackOnTitan_fotos,172.40370659722223,34.22709265875069,47.0,251.0,31697,100.2723794367284,18.57396412037037,180.82252314814815
AOT (8).png,attackOnTitan_fotos,28.827795138888888,43.8736820108186,0.0,255.0,11278,139.03507040895062,129.90672501929012,31.004258777006175
AOT (9).png,attackOnTitan_fotos,164.8628549382716,83.32279263237439,0.0,255.0,38848,31.887305169753088,30.78718219521605,169.53256896219136
AOT (10).png,attackOnTitan_fotos,28.271019965277777,41.82813085147313,0.0,244.0,9313,139.30623408564816,128.71219907407408,30.266612654320987
AOT (11).png,attackOnTitan_fotos,32.05085069444444,36.53115897228158,0.0,240.0,8193,90.41545717592592,94.63027247299382,42.087326871141975
AOT (12).png,attackOnTitan_fotos,53.902342303240744,45.66160215301563,0.0,255.0,12150,109.05748263888889,187.2961713927469,94.28076292438271
AOT (13).png,attackOnTitan_fotos,126.28940441743828,80.76261478766094,6.0,254.0,510,102.42687934027778,166.631171875,177.58385079089507
AOT (14).png,attackOnTitan_fotos,156.76690055941359,53.717112665367,38.0,249.0,2674,16.48361014660494,135.61440393518518,192.35662808641976
AOT (15).png,attackOnTitan_fotos,148.2675636574074,39.306660592115186,39.0,255.0,12304,16.984531732253085,167.95061776620372,196.8303125
AOT (16).png,attackOnTitan_fotos,71.87934220679013,64.83598914921974,0.0,255.0,55310,93.88771942515433,182.92655623070988,96.43877459490741
AOT (17).png,attackOnTitan_fotos,32.82124855324074,36.07442303733503,0.0,244.0,10483,89.65047791280864,195.97184799382717,45.98921199845679
AOT (18).png,attackOnTitan_fotos,72.16814187885802,42.198249561098685,0.0,225.0,15832,72.87357349537037,150.52291329089508,95.71311487268518
AOT (19).png,attackOnTitan_fotos,82.63543788580247,59.49468224969916,0.0,255.0,76095,67.54946566358025,166.05515576774692,101.4903409529321
AOT (20).png,attackOnTitan_fotos,68.01810136959877,61.5543521804893,0.0,255.0,59357,88.0775395447531,182.21732108410495,87.24385947145062
AOT (21).png,attackOnTitan_fotos,114.15946759259259,50.435256637984736,0.0,255.0,20992,85.09225453317902,128.53770061728395,138.01609182098767
AOT (22).png,attackOnTitan_fotos,88.69457706404322,30.439794424345138,18.0,208.0,1541,34.69235725308642,137.34738763503086,99.26980565200617
AOT (23).png,attackOnTitan_fotos,61.70903694058642,36.58312321356684,0.0,219.0,2234,101.45873649691359,125.38264274691359,86.28485050154322
AOT (24).png,attackOnTitan_fotos,122.16591049382717,98.39370415480715,0.0,255.0,33699,70.34101417824074,142.06183690200618,151.19175154320988
AOT (25).png,attackOnTitan_fotos,47.38446277006173,38.9971559250892,0.0,255.0,10762,91.53619405864198,133.15614052854937,57.28777633101852
AOT (26).png,attackOnTitan_fotos,52.043339602623455,46.46902603922912,0.0,231.0,7203,58.41595679012346,152.55755015432098,68.03116705246914
AOT (27).png,attackOnTitan_fotos,130.80243007330247,66.9396901923606,0.0,254.0,0,17.054389949845678,201.67478587962964,207.86793836805555
AOT (28).png,attackOnTitan_fotos,173.8518291859568,56.48571202169059,0.0,255.0,46034,55.12252363040123,99.45491030092593,213.0634418402778
AOT (29).png,attackOnTitan_fotos,63.103131269290124,40.423636820630875,0.0,242.0,33208,99.41679832175926,157.19436005015433,89.42922887731481
AOT (30).png,attackOnTitan_fotos,198.17166329089505,38.91680879927925,26.0,255.0,62019,116.14897472993827,20.348035783179014,208.89362798996913
AOT (31).png,attackOnTitan_fotos,176.41230613425927,44.25851058112988,1.0,255.0,80529,115.36147858796296,11.96677131558642,181.52866415895062
AOT (32).png,attackOnTitan_fotos,199.62573640046296,41.74456081921066,60.0,248.0,473,81.67359616126544,27.883117283950618,210.51080005787037
AOT (33).png,attackOnTitan_fotos,174.48525318287037,40.48447448245921,80.0,255.0,7665,160.64217447916667,70.77724922839506,211.78045090663582
AOT (34).png,attackOnTitan_fotos,223.33266203703704,24.4128985710508,76.0,250.0,569,109.69619212962964,15.89170958719136,230.9174787808642
AOT (35).png,attackOnTitan_fotos,220.64646556712964,25.73504761845343,109.0,251.0,0,97.5276919367284,15.941012731481482,228.82789496527778
AOT (36).png,attackOnTitan_fotos,192.05674672067903,37.89604156819129,60.0,250.0,0,74.40937065972223,39.101049864969134,207.3905367476852
AOT (37).png,attackOnTitan_fotos,180.25488859953705,34.70541887123538,87.0,241.0,0,113.29699990354939,60.212951871141975,205.57519097222223
AOT (38).png,attackOnTitan_fotos,171.14432677469136,46.79821924897034,47.0,255.0,21145,58.36436197916667,6.085175540123457,173.51140673225308
AOT (39).png,attackOnTitan_fotos,185.96447145061728,42.40504641307112,30.0,250.0,17157,44.88109857253087,12.674487847222222,189.90066550925926
AOT (40).png,attackOnTitan_fotos,208.53770495756174,36.73806352482068,49.0,250.0,376,104.70727141203704,34.85716145833334,222.1270809220679
AOT (41).png,attackOnTitan_fotos,154.63248649691357,28.611258029386377,42.0,223.0,35825,48.93160831404321,215.47900704089506,223.79821469907407
AOT (42).png,attackOnTitan_fotos,110.4724291087963,75.45194203836895,0.0,255.0,12190,121.01705150462963,33.24780719521605,115.66365162037037
AOT (43).png,attackOnTitan_fotos,111.23046392746915,63.424987543892755,1.0,255.0,49659,44.146139081790125,149.42614872685186,151.67260223765433
AOT (44).png,attackOnTitan_fotos,122.23406876929013,78.71312984195023,1.0,254.0,1933,21.45255545910494,218.47089265046296,157.06264805169752
AOT (45).png,attackOnTitan_fotos,106.50718364197532,56.33706959359658,0.0,255.0,5016,26.60839699074074,96.92697000385803,114.86622299382717
AOT (46).png,attackOnTitan_fotos,144.37439380787038,46.95960583258531,28.0,246.0,5869,17.91657503858025,147.62292775848766,180.1487924382716
AOT (47).png,attackOnTitan_fotos,80.95852575231481,45.13325132622776,14.0,234.0,7350,103.0510300925926,181.04112075617283,132.6054972029321
AOT (48).png,attackOnTitan_fotos,98.14279610339507,46.07912627820732,7.0,253.0,34377,29.341947337962964,125.30293209876544,143.5720384837963
AOT (49).png,attackOnTitan_fotos,119.36199122299384,65.28102424454578,0.0,254.0,37893,21.23351851851852,150.62843894675927,145.02464265046297
AOT (50).png,attackOnTitan_fotos,131.54596691743828,57.66902408581312,0.0,255.0,30203,40.05832609953704,95.38918016975309,145.4311646412037
AOT (51).png,attackOnTitan_fotos,97.12342447916667,58.361829153501866,0.0,255.0,58328,40.464714023919754,128.4442505787037,117.22403163580248
AOT (52).png,attackOnTitan_fotos,80.57413483796296,67.90099039270159,0.0,255.0,95930,85.93920910493827,131.927315779321,107.3129615162037
AOT (53).png,attackOnTitan_fotos,162.77044704861112,55.665747887104004,6.0,255.0,92881,19.59822723765432,105.56409770447532,184.88468991126544
AOT (54).png,attackOnTitan_fotos,141.72209780092592,57.66381192520865,0.0,255.0,38590,15.438086902006173,113.64070746527779,167.95472511574076
AOT (55).png,attackOnTitan_fotos,120.95227141203704,49.47076186072595,0.0,255.0,40204,17.397395833333334,139.214581404321,146.96067660108025
AOT (56).png,attackOnTitan_fotos,227.0885590277778,20.66486151500655,92.0,255.0,2496,91.88438994984568,62.9702806712963,252.8128481867284
AOT (57).png,attackOnTitan_fotos,113.8369888117284,45.06469977463983,47.0,251.0,3647,109.55009548611112,171.27297501929013,202.96024643132716
AOT (58).png,attackOnTitan_fotos,146.4443185763889,46.99009424198602,10.0,255.0,25857,96.90260320216049,76.97947241512345,184.0710411844136
AOT (59).png,attackOnTitan_fotos,187.1717148919753,28.966220463876947,59.0,241.0,1811,85.47680073302469,35.377939814814816,202.44734375000002
AOT (60).png,attackOnTitan_fotos,106.93027391975309,68.48775082650715,0.0,255.0,30787,106.94239728009259,170.06824797453703,180.85487798996914
AOT (61).png,attackOnTitan_fotos,160.9068364197531,53.66699570133866,0.0,255.0,33034,104.06163580246914,113.69114583333334,221.9352671682099
AOT (62).png,attackOnTitan_fotos,114.26980227623457,67.27258633243703,0.0,255.0,30170,106.32960648148148,162.33356770833333,187.0483101851852
AOT (63).png,attackOnTitan_fotos,25.774522087191357,31.49555271993884,0.0,255.0,23252,19.869118441358026,219.29227382330248,39.653702739197534
