Archivo,Name,Folder,Media,Desviacion estandar,Valor minimo,Valor maximo,Numero de bordes
65,AOT (65).png,attackOnTitan_fotos,196.99485628858025,55.05350637696672,0.0,255.0,92621
66,AOT (66).png,attackOnTitan_fotos,59.480665991512346,61.05847905907782,0.0,255.0,116309
67,AOT (67).png,attackOnTitan_fotos,84.09041473765433,45.549475514633954,12.0,255.0,13794
68,AOT (68).png,attackOnTitan_fotos,156.6165557484568,92.34252179167223,3.0,255.0,62792
69,AOT (69).png,attackOnTitan_fotos,110.96819010416667,26.06252182315698,10.0,211.0,47262
70,AOT (70).png,attackOnTitan_fotos,38.96306664737654,23.899767674548045,3.0,204.0,215
71,AOT (71).png,attackOnTitan_fotos,103.96404996141976,68.72314955497325,0.0,255.0,12394
72,AOT (72).png,attackOnTitan_fotos,57.84461902006173,36.12449649462634,0.0,241.0,4172
73,AOT (73).png,attackOnTitan_fotos,87.93005063657408,55.270704613838305,4.0,236.0,9069
74,AOT (74).png,attackOnTitan_fotos,128.44706548996913,83.23074489083172,1.0,255.0,6900
75,AOT (75).png,attackOnTitan_fotos,94.76894000771605,51.96215986324491,0.0,247.0,22087
76,AOT (76).png,attackOnTitan_fotos,124.60529079861111,62.41013713248487,3.0,255.0,15147
77,AOT (77).png,attackOnTitan_fotos,37.73827739197531,29.575254741426594,0.0,255.0,7837
78,AOT (78).png,attackOnTitan_fotos,70.09844714506173,41.983725668028455,1.0,253.0,23600
79,AOT (79).png,attackOnTitan_fotos,68.82288483796296,73.37755321742588,0.0,255.0,4775
80,AOT (80).png,attackOnTitan_fotos,124.0078091242284,60.39691299254582,0.0,255.0,16946
81,AOT (81).png,attackOnTitan_fotos,180.7785590277778,29.812042005553415,100.0,235.0,385
82,AOT (82).png,attackOnTitan_fotos,128.7922198109568,68.99136645265786,13.0,255.0,31430
83,AOT (83).png,attackOnTitan_fotos,13.562462866512346,22.786510432449866,0.0,255.0,1930
84,AOT (84).png,attackOnTitan_fotos,85.14027777777778,60.782382249284595,0.0,254.0,970
85,AOT (85).png,attackOnTitan_fotos,252.25788194444445,3.7057006089319176,221.0,255.0,28
86,AOT (86).png,attackOnTitan_fotos,95.13796778549383,60.017665250877606,0.0,255.0,131404
87,AOT (87).png,attackOnTitan_fotos,119.3749291087963,85.34130418987792,0.0,255.0,29771
88,AOT (88).png,attackOnTitan_fotos,70.23235484182099,38.4475953186127,5.0,217.0,10512
89,AOT (89).png,attackOnTitan_fotos,114.16565489969136,75.9493971374708,0.0,255.0,15027
90,AOT (90).png,attackOnTitan_fotos,128.2447762345679,91.52654431235595,0.0,255.0,17584
91,AOT (91).png,attackOnTitan_fotos,146.230362654321,74.38346573735295,1.0,255.0,7404
92,AOT (92).png,attackOnTitan_fotos,103.02290027006173,73.6285239381181,0.0,255.0,33755
93,AOT (93).png,attackOnTitan_fotos,56.04629243827161,51.20787376941093,0.0,253.0,8488
94,AOT (94).png,attackOnTitan_fotos,145.68257233796297,50.1144886447558,4.0,254.0,12017
95,AOT (95).png,attackOnTitan_fotos,33.71718942901234,52.8636948233123,2.0,255.0,21113
96,AOT (96).png,attackOnTitan_fotos,96.13524884259259,65.75284236096057,0.0,255.0,75957
97,AOT (97).png,attackOnTitan_fotos,137.99796055169753,62.79368030198308,0.0,255.0,37185
98,AOT (98).png,attackOnTitan_fotos,87.36137490354939,59.960396739680235,0.0,255.0,31531
99,AOT (99).png,attackOnTitan_fotos,119.03415027006173,74.62996573838454,0.0,255.0,13501
100,AOT (100).png,attackOnTitan_fotos,24.77759018132716,47.17776506175441,0.0,255.0,5983
1,deathNote (1).png,deathNote_fotos,174.62272231867286,46.88290943554424,0.0,255.0,17751
2,deathNote (2).png,deathNote_fotos,144.5047014853395,75.21087665035468,0.0,255.0,7414
3,deathNote (3).png,deathNote_fotos,114.88644579475309,52.80781000362731,0.0,235.0,5790
4,deathNote (4).png,deathNote_fotos,72.68510706018519,59.12617302719937,0.0,255.0,8009
5,deathNote (5).png,deathNote_fotos,88.61525318287038,78.25656735742051,0.0,255.0,15603
6,deathNote (6).png,deathNote_fotos,88.96390142746914,76.48102855302655,0.0,255.0,13958
7,deathNote (7).png,deathNote_fotos,99.71898292824075,75.29538199232843,0.0,255.0,11618
8,deathNote (8).png,deathNote_fotos,105.6456500771605,80.82662491482235,0.0,255.0,10600
9,deathNote (9).png,deathNote_fotos,80.43954909336419,63.03534088609467,0.0,253.0,23017
10,deathNote (10).png,deathNote_fotos,84.48841676311729,65.20959619599459,0.0,255.0,4545
11,deathNote (11).png,deathNote_fotos,101.79049189814815,84.3868968068511,0.0,255.0,8434
12,deathNote (12).png,deathNote_fotos,65.42303192515432,70.4883120887149,0.0,255.0,22167
13,deathNote (13).png,deathNote_fotos,43.46026572145062,50.25554074013843,0.0,248.0,3530
14,deathNote (14).png,deathNote_fotos,94.70445216049383,72.63099864896647,0.0,255.0,10205
15,deathNote (15).png,deathNote_fotos,48.16536554783951,38.54180570434703,0.0,248.0,3053
16,deathNote (16).png,deathNote_fotos,16.039234664351852,13.996876080753564,0.0,155.0,0
17,deathNote (17).png,deathNote_fotos,21.398886477623456,22.612871527806057,0.0,230.0,1117
18,deathNote (18).png,deathNote_fotos,20.41183159722222,26.609349520927555,0.0,208.0,117
19,deathNote (19).png,deathNote_fotos,27.834094328703703,31.939604802468384,0.0,165.0,1412
20,deathNote (20).png,deathNote_fotos,93.0060368441358,71.93268878656093,0.0,255.0,1948
21,deathNote (21).png,deathNote_fotos,26.77087432484568,25.42166403090363,0.0,207.0,1100
22,deathNote (22).png,deathNote_fotos,107.84351514274691,65.01470810007106,0.0,255.0,3674
23,deathNote (23).png,deathNote_fotos,64.05784915123456,53.409820626504,0.0,240.0,3156
24,deathNote (24).png,deathNote_fotos,100.74809895833333,57.140526724226106,0.0,254.0,6809
25,deathNote (25).png,deathNote_fotos,150.68026813271607,90.12811948551906,0.0,255.0,8060
26,deathNote (26).png,deathNote_fotos,35.780012538580245,45.3565086905284,0.0,244.0,6071
27,deathNote (27).png,deathNote_fotos,48.77890142746914,68.73860302186884,0.0,255.0,35163
28,deathNote (28).png,deathNote_fotos,109.62407600308643,93.00995264022951,0.0,255.0,17109
29,deathNote (29).png,deathNote_fotos,120.13579475308643,76.40686147906698,0.0,255.0,20517
30,deathNote (30).png,deathNote_fotos,104.53902150848765,84.68776924292835,0.0,255.0,21730
31,deathNote (31).png,deathNote_fotos,92.23110966435185,89.61922425016802,0.0,255.0,10649
32,deathNote (32).png,deathNote_fotos,88.43038580246913,88.69890251417988,0.0,255.0,10744
33,deathNote (33).png,deathNote_fotos,85.28207995756173,88.24573568268994,0.0,255.0,11398
34,deathNote (34).png,deathNote_fotos,86.24508198302469,96.1598654863155,0.0,255.0,11997
35,deathNote (35).png,deathNote_fotos,39.42767361111111,50.620109611651685,0.0,143.0,17384
36,deathNote (36).png,deathNote_fotos,57.15642312885802,60.55461420072323,0.0,253.0,34095
37,deathNote (37).png,deathNote_fotos,18.476860050154322,45.14673513898195,0.0,237.0,40255
38,deathNote (38).png,deathNote_fotos,33.78179832175926,61.031600551064365,0.0,255.0,77315
39,deathNote (39).png,deathNote_fotos,6.699623360339507,30.965656302240923,0.0,217.0,10539
40,deathNote (40).png,deathNote_fotos,148.2419738618827,54.551210662477395,0.0,255.0,5837
41,deathNote (41).png,deathNote_fotos,56.15698302469136,75.80795876500697,0.0,255.0,15514
42,deathNote (42).png,deathNote_fotos,117.42880787037038,42.34529250603212,0.0,251.0,2282
43,deathNote (43).png,deathNote_fotos,108.7025819830247,49.08605323698664,0.0,252.0,2672
44,deathNote (44).png,deathNote_fotos,109.66041087962964,71.66213244986317,0.0,255.0,40227
45,deathNote (45).png,deathNote_fotos,118.77381799768519,73.91721708280063,0.0,251.0,47722
46,deathNote (46).png,deathNote_fotos,39.90269820601852,28.033339000840453,0.0,196.0,1484
47,deathNote (47).png,deathNote_fotos,96.74959104938272,64.04339368670215,0.0,247.0,12894
48,deathNote (48).png,deathNote_fotos,102.2255999228395,67.42645058256046,0.0,242.0,69372
49,deathNote (49).png,deathNote_fotos,68.54280285493827,59.05418042272855,0.0,235.0,8159
50,deathNote (50).png,deathNote_fotos,120.69061101466049,56.157755858116296,0.0,253.0,6117
51,deathNote (51).png,deathNote_fotos,96.61586709104938,62.88200584979582,0.0,219.0,7390
52,deathNote (52).png,deathNote_fotos,180.66190297067902,70.79998350125793,0.0,255.0,6431
53,deathNote (53).png,deathNote_fotos,72.1910122492284,60.08063060703771,0.0,255.0,8109
54,deathNote (54).png,deathNote_fotos,71.80923418209876,70.77037067680915,0.0,255.0,12043
55,deathNote (55).png,deathNote_fotos,94.1399430941358,45.18566258491185,0.0,247.0,7684
56,deathNote (56).png,deathNote_fotos,44.3813565779321,36.205962911103335,0.0,178.0,2502
57,deathNote (57).png,deathNote_fotos,51.24488811728395,35.82347043295693,0.0,255.0,4005
58,deathNote (58).png,deathNote_fotos,84.10392602237654,48.374329311345086,0.0,255.0,2965
59,deathNote (59).png,deathNote_fotos,99.98234953703704,60.84668805559277,0.0,255.0,7798
60,deathNote (60).png,deathNote_fotos,67.85678192515432,45.414227681100634,0.0,230.0,5583
61,deathNote (61).png,deathNote_fotos,244.17315441743827,22.49974326185568,0.0,255.0,8317
62,deathNote (62).png,deathNote_fotos,145.07216145833334,64.47151487907381,0.0,255.0,11890
63,deathNote (63).png,deathNote_fotos,238.3509519675926,22.38962681356472,0.0,255.0,9144
